hospital_count,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Hospital Ownership,Hospital Type,State,County Name,ZIP Code
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,MS,TATE,38668
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,NC,MECKLENBURG,28217
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,DELAWARE,19026
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,SC,GEORGETOWN,29440
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,TX,WHARTON,77437
1,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Government - Federal,Acute Care Hospitals,SD,null,57770
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,CA,MENDOCINO,95490
1,Not Available,Above the national average,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,LA,EAST BATON ROUGE,70810
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,CA,KERN,93561
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,AR,RANDOLPH,72455
1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,LOS ANGELES,90404
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,LA,RICHLAND,71269
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,IA,CLAYTON,52052
1,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,LA,DE SOTO,71052
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Local,Acute Care Hospitals,IL,ROCK ISLAND,61282
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NV,CLARK,89005
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,MI,EATON,48827
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MI,MACKINAC,49781
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MT,GLACIER,59427
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Church,Acute Care Hospitals,MS,HINDS,39216
1,Not Available,Above the national average,Not Available,Not Available,Not Available,Physician,Acute Care Hospitals,NE,DOUGLAS,68114
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,NE,DOUGLAS,68130
1,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,OH,ASHLAND,44805
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,OR,MARION,97381
1,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,TOM GREEN,76903
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,BRAZOS,77845
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,AL,DE KALB,35968
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,AZ,PINAL,85147
1,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Government - Local,Critical Access Hospitals,NE,FILLMORE,68361
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,NAPA,94574
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,FL,BAKER,32063
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,AZ,PIMA,85712
